char1,char1wins,char2wins,char2,p1id,p2id
Captain Falcon,3,1,Marth,23,457
Captain Falcon,3,1,Fox,23,460
Marth,1,3,Fox,22,17
Fox,0,1,Fox,22,15
Marth,0,2,Fox,22,15
Fox,2,2,Fox,22,13
Fox,0,3,Samus,22,13
Fox,4,18,Sheik,22,13
Fox,0,1,Fox,22,12
Marth,1,5,Fox,22,12
Fox,5,4,Samus,22,43
Marth,2,1,Fox,22,49
Fox,8,1,Captain Falcon,22,391
Fox,2,0,Fox,22,433
Fox,2,0,Captain Falcon,22,436
Fox,2,1,Peach,22,437
Fox,2,0,Captain Falcon,22,448
Fox,3,0,Ice Climbers,22,517
Marth,1,2,Fox,22,2027
Peach,1,3,Captain Falcon,21,20
Peach,0,3,Fox,21,14
Peach,1,3,Sheik,21,13
Peach,0,2,Sheik,21,11
Peach,5,1,Samus,21,43
Peach,3,1,Luigi,21,44
Peach,1,3,Falco,21,47
Peach,2,3,Fox,21,47
Peach,0,2,Ice Climbers,21,392
Peach,2,3,Fox,21,400
Peach,3,1,Ice Climbers,21,407
Peach,2,3,Captain Falcon,21,430
Captain Falcon,1,3,Fox,20,17
Captain Falcon,3,1,Fox,20,15
Captain Falcon,1,2,Fox,20,14
Captain Falcon,0,15,Sheik,20,13
Falco,0,1,Sheik,20,13
Captain Falcon,7,17,Fox,20,12
Captain Falcon,1,11,Sheik,20,11
Captain Falcon,1,3,Ice Climbers,20,39
Captain Falcon,1,3,Sheik,20,40
Captain Falcon,2,0,Samus,20,43
Captain Falcon,2,0,Fox,20,46
Captain Falcon,6,5,Fox,20,47
Captain Falcon,2,1,Captain Falcon,20,391
Captain Falcon,0,2,Ice Climbers,20,392
Captain Falcon,2,0,Sheik,20,395
Captain Falcon,2,0,Fox,20,396
Captain Falcon,1,5,Sheik,20,403
Captain Falcon,8,4,Ice Climbers,20,407
Captain Falcon,5,8,Captain Falcon,20,430
Captain Falcon,3,2,Ice Climbers,20,517
Sheik,3,2,Sheik,18,11
Sheik,1,3,Samus,18,43
Sheik,1,3,Sheik,18,403
Fox,4,3,Fox,17,15
Fox,2,3,Fox,17,13
Fox,3,3,Fox,17,12
Fox,1,3,Sheik,17,11
Fox,6,6,Samus,17,43
Fox,1,5,Fox,17,47
Fox,8,1,Fox,17,378
Fox,0,3,Ice Climbers,17,392
Fox,2,3,Ice Climbers,17,407
Fox,6,2,Captain Falcon,17,430
Fox,3,2,Peach,17,437
Fox,2,0,Marth,17,457
Fox,3,1,Marth,17,3869
Yoshi,1,3,Sheik,16,13
Yoshi,2,1,Fox,16,12
Yoshi,2,0,Captain Falcon,16,436
Fox,3,2,Fox,15,14
Fox,3,1,Sheik,15,13
Fox,10,10,Fox,15,12
Fox,3,2,Sheik,15,11
Fox,2,1,Fox,15,38
Fox,3,0,Fox,15,46
Fox,3,0,Fox,15,47
Fox,1,2,Sheik,15,47
Fox,2,0,Fox,15,49
Fox,3,1,Captain Falcon,15,391
Fox,5,3,Fox,15,400
Fox,3,2,Sheik,15,403
Fox,2,3,Captain Falcon,15,430
Fox,3,1,Sheik,15,431
Fox,2,1,Marth,15,446
Fox,3,0,Marth,15,457
Fox,0,1,Samus,14,13
Fox,2,2,Sheik,14,13
Fox,2,3,Fox,14,12
Fox,0,3,Samus,14,43
Fox,1,3,Falco,14,47
Fox,1,0,Fox,14,390
Fox,2,0,Marth,14,390
Fox,0,2,Ice Climbers,14,392
Fox,1,3,Ice Climbers,14,407
Fox,3,4,Fox,13,12
Samus,4,3,Fox,13,12
Sheik,4,3,Fox,13,12
Fox,2,3,Sheik,13,11
Sheik,3,0,Sheik,13,11
Samus,3,1,Ice Climbers,13,39
Sheik,6,1,Samus,13,43
Sheik,2,1,Fox,13,46
Sheik,6,1,Fox,13,47
Sheik,3,1,Fox,13,378
Sheik,2,0,Fox,13,379
Fox,1,2,Jigglypuff,13,388
Fox,1,0,Fox,13,400
Sheik,4,1,Fox,13,400
Luigi,1,1,Luigi,13,403
Luigi,1,2,Sheik,13,403
Samus,2,3,Ice Climbers,13,407
Sheik,3,1,Captain Falcon,13,430
Fox,1,0,Doctor Mario,12,11
Fox,9,1,Marth,12,11
Fox,27,9,Sheik,12,11
Fox,10,9,Ice Climbers,12,39
Fox,8,8,Samus,12,43
Fox,8,5,Fox,12,47
Fox,3,1,Falco,12,71
Fox,2,0,Fox,12,381
Fox,2,1,Fox,12,400
Fox,6,0,Sheik,12,403
Fox,3,1,Ice Climbers,12,407
Fox,1,3,Fox,12,433
Fox,2,0,Peach,12,437
Fox,2,0,Fox,12,460
Fox,3,5,Marth,12,3869
Marth,3,2,Ice Climbers,11,39
Sheik,3,2,Samus,11,43
Sheik,2,0,Fox,11,50
Sheik,1,0,Sheik,11,50
Sheik,2,0,Peach,11,380
Sheik,3,1,Jigglypuff,11,388
Sheik,2,3,Fox,11,400
Marth,2,3,Sheik,11,403
Sheik,3,4,Sheik,11,403
Marth,2,3,Ice Climbers,11,407
Sheik,1,3,Ice Climbers,11,407
Sheik,3,1,Samus,11,409
Sheik,3,0,Captain Falcon,11,430
Captain Falcon,0,1,Sheik,37,489
Fox,2,1,Sheik,37,489
Ice Climbers,0,1,Sheik,37,489
Fox,0,2,Peach,38,437
Mario,0,1,Peach,38,437
Pikachu,1,0,Peach,38,437
Fox,2,0,Fox,38,441
Ice Climbers,2,5,Samus,39,43
Ice Climbers,5,3,Fox,39,47
